train;age;educ;black;hisp;married;re74;re75;unem75;unem74;re78;agesq;trre74;trre75;trun74;trun75;avgre;travgre;unem78;em78
1;37;11;1;0;1;0;0;1;1;9.9300499;1369;0;0;1;1;0;0;0;1
1;30;12;1;0;0;0;0;1;1;24.9095;900;0;0;1;1;0;0;0;1
1;27;11;1;0;0;0;0;1;1;7.5061498;729;0;0;1;1;0;0;0;1
1;33;8;1;0;0;0;0;1;1;.28979;1089;0;0;1;1;0;0;0;1
1;22;9;1;0;0;0;0;1;1;4.0564899;484;0;0;1;1;0;0;0;1
1;23;12;1;0;0;0;0;1;1;0;529;0;0;1;1;0;0;1;0
1;32;11;1;0;0;0;0;1;1;8.4721603;1024;0;0;1;1;0;0;0;1
1;22;16;1;0;0;0;0;1;1;2.1640201;484;0;0;1;1;0;0;0;1
1;19;9;1;0;0;0;0;1;1;8.1739101;361;0;0;1;1;0;0;0;1
1;21;13;1;0;0;0;0;1;1;17.094599;441;0;0;1;1;0;0;0;1
1;18;8;1;0;0;0;0;1;1;0;324;0;0;1;1;0;0;1;0
1;27;10;1;0;1;0;0;1;1;18.739901;729;0;0;1;1;0;0;0;1
1;17;7;1;0;0;0;0;1;1;3.0238798;289;0;0;1;1;0;0;0;1
1;19;10;1;0;0;0;0;1;1;3.2284999;361;0;0;1;1;0;0;0;1
1;27;13;1;0;0;0;0;1;1;14.581901;729;0;0;1;1;0;0;0;1
1;23;10;1;0;0;0;0;1;1;7.6933999;529;0;0;1;1;0;0;0;1
1;40;12;1;0;0;0;0;1;1;10.804299;1600;0;0;1;1;0;0;0;1
1;26;12;1;0;0;0;0;1;1;10.7474;676;0;0;1;1;0;0;0;1
1;23;11;1;0;0;0;0;1;1;0;529;0;0;1;1;0;0;1;0
1;24;11;1;0;0;0;0;1;1;1.9914;576;0;0;1;1;0;0;0;1
1;18;10;1;0;0;0;0;1;1;11.1632;324;0;0;1;1;0;0;0;1
1;29;11;1;0;1;0;0;1;1;9.6429996;841;0;0;1;1;0;0;0;1
1;25;11;1;0;0;0;0;1;1;9.8970499;625;0;0;1;1;0;0;0;1
1;17;10;1;0;0;0;0;1;1;16.218;289;0;0;1;1;0;0;0;1
1;24;11;1;0;0;0;0;1;1;.9957;576;0;0;1;1;0;0;0;1
1;17;10;1;0;0;0;0;1;1;0;289;0;0;1;1;0;0;1;0
1;48;4;1;0;0;0;0;1;1;6.55159;2304;0;0;1;1;0;0;0;1
1;25;11;1;0;1;0;0;1;1;1.5744201;625;0;0;1;1;0;0;0;1
1;20;12;1;0;0;0;0;1;1;0;400;0;0;1;1;0;0;1;0
1;25;12;1;0;0;0;0;1;1;3.19175;625;0;0;1;1;0;0;0;1
1;42;14;1;0;0;0;0;1;1;20.505901;1764;0;0;1;1;0;0;0;1
1;25;5;1;0;0;0;0;1;1;6.18188;625;0;0;1;1;0;0;0;1
1;23;12;1;0;1;0;0;1;1;5.9115496;529;0;0;1;1;0;0;0;1
1;46;8;1;0;1;0;0;1;1;3.0941598;2116;0;0;1;1;0;0;0;1
1;24;10;1;0;0;0;0;1;1;0;576;0;0;1;1;0;0;1;0
1;21;12;1;0;0;0;0;1;1;1.2545799;441;0;0;1;1;0;0;0;1
1;17;8;1;0;0;0;0;1;1;8.0614901;289;0;0;1;1;0;0;0;1
1;20;11;1;0;0;0;0;1;1;3.9725401;400;0;0;1;1;0;0;0;1
1;25;11;1;0;1;0;0;1;1;0;625;0;0;1;1;0;0;1;0
1;17;8;1;0;0;0;0;1;1;0;289;0;0;1;1;0;0;1;0
1;17;9;1;0;0;0;0;1;1;0;289;0;0;1;1;0;0;1;0
1;25;5;1;0;0;0;0;1;1;12.187401;625;0;0;1;1;0;0;0;1
1;23;12;1;0;0;0;0;1;1;4.8431802;529;0;0;1;1;0;0;0;1
