train;age;educ;black;hisp;married;nodegree;mosinex;re74;re75;re78;unem74;unem75;unem78;lre74;lre75;lre78;agesq;mostrn
1;37;11;1;0;1;1;13;0;0;9.9300499;1;1;0;0;0;2.2955656;1369;13
1;22;9;0;1;0;1;13;0;0;3.59589;1;1;0;0;0;1.2797916;484;13
1;30;12;1;0;0;0;13;0;0;24.9095;1;1;0;0;0;3.2152493;900;13
1;27;11;1;0;0;1;13;0;0;7.5061502;1;1;0;0;0;2.0157228;729;13
1;33;8;1;0;0;1;13;0;0;.28979;1;1;0;0;0;-1.2385987;1089;13
1;22;9;1;0;0;1;13;0;0;4.0564899;1;1;0;0;0;1.400318;484;13
1;23;12;1;0;0;0;6;0;0;0;1;1;1;0;0;0;529;6
1;32;11;1;0;0;1;6;0;0;8.4721603;1;1;0;0;0;2.1367855;1024;6
1;22;16;1;0;0;0;14;0;0;2.1640201;1;1;0;0;0;.77196765;484;14
1;33;12;0;0;1;0;13;0;0;12.4181;1;1;0;0;0;2.519155;1089;13
1;19;9;1;0;0;1;14;0;0;8.1739101;1;1;0;0;0;2.1009474;361;14
1;21;13;1;0;0;0;14;0;0;17.094601;1;1;0;0;0;2.8387628;441;14
1;18;8;1;0;0;1;15;0;0;0;1;1;1;0;0;0;324;15
1;27;10;1;0;1;1;15;0;0;18.739901;1;1;0;0;0;2.930655;729;15
1;17;7;1;0;0;1;15;0;0;3.0238798;1;1;0;0;0;1.1065407;289;15
1;19;10;1;0;0;1;13;0;0;3.2284999;1;1;0;0;0;1.1720176;361;13
1;27;13;1;0;0;0;6;0;0;14.5819;1;1;0;0;0;2.679781;729;6
1;23;10;1;0;0;1;13;0;0;7.6933999;1;1;0;0;0;2.0403628;529;13
1;40;12;1;0;0;0;15;0;0;10.8043;1;1;0;0;0;2.3799443;1600;15
1;26;12;1;0;0;0;21;0;0;10.7474;1;1;0;0;0;2.3746638;676;21
1;23;11;1;0;0;1;6;0;0;0;1;1;1;0;0;0;529;6
1;41;14;0;0;0;0;14;0;0;5.1494999;1;1;0;0;0;1.6388996;1681;14
1;38;9;0;0;0;1;6;0;0;6.4089499;1;1;0;0;0;1.8576955;1444;6
1;24;11;1;0;0;1;6;0;0;1.9914;1;1;0;0;0;.68883789;576;6
1;18;10;1;0;0;1;15;0;0;11.1632;1;1;0;0;0;2.4126227;324;15
1;29;11;1;0;1;1;6;0;0;9.6429996;1;1;0;0;0;2.2662323;841;6
1;25;11;1;0;0;1;13;0;0;9.8970499;1;1;0;0;0;2.2922368;625;13
1;27;10;0;1;0;1;13;0;0;11.1429;1;1;0;0;0;2.4108026;729;13
1;17;10;1;0;0;1;14;0;0;16.217999;1;1;0;0;0;2.7861216;289;14
1;24;11;1;0;0;1;15;0;0;.9957;1;1;0;0;0;-.0043092701;576;15
1;17;10;1;0;0;1;6;0;0;0;1;1;1;0;0;0;289;6
1;48;4;1;0;0;1;14;0;0;6.55159;1;1;0;0;0;1.8797078;2304;14
1;25;11;1;0;1;1;14;0;0;1.5744201;1;1;0;0;0;.45388702;625;14
1;20;12;1;0;0;0;14;0;0;0;1;1;1;0;0;0;400;14
1;25;12;1;0;0;0;14;0;0;3.19175;1;1;0;0;0;1.1605694;625;14
1;42;14;1;0;0;0;12;0;0;20.505901;1;1;0;0;0;3.0207126;1764;12
1;25;5;1;0;0;1;15;0;0;6.18188;1;1;0;0;0;1.8216225;625;15
1;23;12;1;0;1;0;13;0;0;5.9115496;1;1;0;0;0;1.776908;529;13
1;46;8;1;0;1;1;15;0;0;3.0941598;1;1;0;0;0;1.1295164;2116;15
1;24;10;1;0;0;1;15;0;0;0;1;1;1;0;0;0;576;15
1;21;12;1;0;0;0;15;0;0;1.2545799;1;1;0;0;0;.22680077;441;15
1;19;9;0;0;0;1;14;0;0;13.1888;1;1;0;0;0;2.5793679;361;14
1;17;8;1;0;0;1;15;0;0;8.0614901;1;1;0;0;0;2.0870984;289;15
1;18;8;0;1;1;1;15;0;0;2.7879601;1;1;0;0;0;1.0253102;324;15
1;20;11;1;0;0;1;23;0;0;3.9725399;1;1;0;0;0;1.3794056;400;23
1;25;11;1;0;1;1;15;0;0;0;1;1;1;0;0;0;625;15
1;17;8;1;0;0;1;13;0;0;0;1;1;1;0;0;0;289;13
