st;year;div_rate;stpop;lfdivlaw
AK;1956;2.7;224000;1935
AK;1957;2.4000001;231000;1935
AK;1958;2.5;224000;1935
AK;1959;3;224000;1935
AK;1960;3.5;229000;1935
AK;1961;3.9000001;238000;1935
AK;1962;3.8;246000;1935
AK;1963;3.8;256000;1935
AK;1964;3.9000001;263000;1935
AK;1965;4.1999998;271000;1935
AK;1966;4.0999999;271000;1935
AK;1967;4.3000002;278000;1935
AK;1968;4.8000002;285000;1935
AK;1969;5.4000001;296000;1935
AK;1970;5.5999999;302583;1935
AK;1971;5.5;315510;1935
AK;1972;6.5999999;324464;1935
AK;1973;6.1999998;330543;1935
AK;1974;7.0999999;341063;1935
AK;1975;7.6999998;376170;1935
AK;1976;8.1999998;400969;1935
AK;1977;9;403436;1935
AK;1978;8.6999998;404766;1935
AK;1979;8.6999998;402753;1935
AK;1980;8.8000002;401851;1935
AK;1981;8.3000002;418491;1935
AK;1982;7.8000002;449606;1935
AK;1983;8.1000004;488417;1935
AK;1984;7.6999998;513702;1935
AK;1985;7.6999998;532495;1935
AK;1986;7;544268;1935
AK;1987;6.5;539309;1935
AK;1988;6.4000001;541983;1935
AK;1989;6.3000002;547159;1935
AK;1990;5.6999998;553120;1935
AK;1991;5.9725299;569273;1935
AK;1992;6.302453;587073;1935
AK;1993;5.6181564;596993;1935
AK;1994;5.3161378;600624;1935
AK;1995;4.9888167;601345;1935
AK;1996;4.6287265;604918;1935
AK;1997;4.8386621;608846;1935
AK;1998;5.221024;615205;1935
AL;1956;3.3;3071000;1971
AL;1957;3.4000001;3109000;1971
AL;1958;3.9000001;3163000;1971
AL;1959;4.6999998;3204000;1971
AL;1960;5.3000002;3274000;1971
AL;1961;5.3000002;3316000;1971
AL;1962;3.7;3323000;1971
AL;1963;3.7;3358000;1971
AL;1964;3.2;3395000;1971
AL;1965;3.2;3443000;1971
AL;1966;3.2;3464000;1971
AL;1967;3.4000001;3458000;1971
AL;1968;3.5999999;3446000;1971
AL;1969;4;3440000;1971
AL;1970;4.4000001;3444354;1971
AL;1971;4.8000002;3497076;1971
AL;1972;5.4000001;3539400;1971
AL;1973;5.6999998;3579780;1971
AL;1974;5.8000002;3626499;1971
AL;1975;6.1999998;3678814;1971
AL;1976;6.4000001;3735139;1971
AL;1977;6.3000002;3780403;1971
AL;1978;6.5;3831836;1971
AL;1979;6.9000001;3866248;1971
AL;1980;6.9000001;3893888;1971
AL;1981;6.8000002;3918531;1971
AL;1982;6.3000002;3925266;1971
AL;1983;6.4000001;3934102;1971
AL;1984;6.4000001;3951820;1971
AL;1985;6.1999998;3972523;1971
