pccode;pccode2010;pcname;province;province_id;districtid;nvoters;totalps_av;frnum_v600;frnum_p95;frnum_ecc;frnum_disq;frnum_comb;frnum_own;total_karzai;total_abd;total_others;total_v600;total_p95;total_ecc;total_disq;total_comb;total_own;totalv_pc;totalps;female;kuchi;femaleps;kuchips;response;herfind;pc_categ;iec_province;iec_district;iec_pcname;iec_mgrsgrid;iec_secure;iec_access;syn_mgrsgrid;syn_latitude;syn_longitude;geoimpute;lat;lon;cov;dist;segment50;dist50;segment100;dist100;conflict;elevation;slope;pc_vill_dist;vill_id;center;center_code;population;language;lang_code;region;region2;dist_prim_rd;dist_sec_rd;dist_tr_rd;dist_health_b;dist_health_d;dist_river_p;dist_river_sec;dist_river_s;lang_code2;access;center2;share_600;share_95;share_ecc;share_disq;share_comb;share_own;vote_600;vote_95;vote_ecc;vote_disq;vote_comb;vote_own;vote_comb_ind;ind_seg50;ind_seg100;prov_34_na;dist_34_na;distid;roshan_only;cov_all;dist_all;roshan_win_20km;roshan_win_10km;roshan_win_15km;roshan_win_5km;cov_pc;dist2;dist3;dist4;lat2;lon2;lat3;lon3;lat4;lon4;distance;measurement_error;_dist
101078;101078;Zayed Bin Haris.;Kabul;1;101;3400;7;0;5;0;0;0;0;1061;107;47;0;839;0;0;0;0;1215;7;0;6;0;.85714287;.35735294;.77071774;Other;Kabul;PROVINCIAL CENTER (KABUL) Nahia (5);Zayed Bin Haris.;42SWD0591920643;Secure;Road;42SWD0591920643;34.527451;69.064499;Original;34.527451;69.064499;1;23.692665;737;23757.01;402;33145.594;0;1874;1.6230979;162.86177;KBL-084;NA;0;0;Dari;1;RC-Central;East;641.5473;39.333767;542.17188;4067.0417;4255.3188;22984.641;6.8210688;10732.637;Dari;Road;No capital;0;.71428573;0;0;0;0;0;.69053501;0;0;0;0;0;0;1;Kabul;Kabul;101;0;1;23692.666376;0;0;0;0;1;561.34241;13299.697;315105.28;1192.1449;4769.9048;41161.723;329431.09;1421209.4;22751994;23.692665;-.48685038;23.205814
101498;101498;Black 8 Ahamd shah baba female School;Kabul;1;101;1200;3;1;0;0;0;0;0;1102;154;312;611;0;0;0;0;0;1568;3;1;0;.33333334;0;1.3066666;.51862586;School;Kabul;PROVINCIAL CENTER (KABUL) Nahia (12);Black 8 Ahamd shah baba female School;42SWD2246419792;Secure;Road;42SWD2246419792;34.519547;69.244751;Original;34.519547;69.244751;1;13.797392;691;19445.014;386;25301.477;0;1797;2.2977805;2105.9639;KBL-090;NA;0;0;Pashto;2;RC-Central;East;2620.8364;1662.3787;694.77179;3217.8638;7333.8872;32385.158;1628.9094;22036.469;Pashto;Road;No capital;.33333334;0;0;0;0;0;.38966838;0;0;0;0;0;0;1;0;Kabul;Kabul;101;0;1;16595.776163;0;0;0;0;1;190.36803;2626.5823;36239.984;1191.5991;4794.8354;41133.461;332017.19;1419908.4;22990448;13.797392;-1.4760038;12.321388
101186;101186;qabil boy,qabil boy high school;Kabul;1;101;2700;5;0;0;0;0;0;0;803;417;167;0;0;0;0;0;0;1387;5;2;0;.40000001;0;.5137037;.42897609;School;Kabul;PROVINCIAL CENTER (KABUL) Nahia (9);qabil boy,qabil boy high school;42SWD1680820556;Secure;Not accessible;42SWD1680820556;34.526546;69.183144;Original;34.526546;69.183144;1;16.931305;691;22554.52;386;29607.334;0;1801;.97116023;480.95123;KBL-116;Provincial;2;2536300;Dari;1;RC-Central;East;45.992649;2242.5513;100.30553;1945.0913;1945.0913;28092.17;795.42584;16945.184;Dari;Limited;Distr/Prov capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Kabul;Kabul;101;0;1;19027.006766;0;0;0;0;1;286.6691;4853.6816;82179.164;1192.0824;4786.3071;41158.488;331131.78;1421060.5;22908738;16.931305;-.010911492;16.920393
101176;101176;hood khail,hood khail high school;Kabul;1;101;5000;9;2;2;0;0;0;0;2449;112;290;1169;402;0;0;0;0;2851;9;2;2;.2857143;.22222222;.57020003;.74157363;School;Kabul;PROVINCIAL CENTER (KABUL) Nahia (9);hood khail,hood khail high school;42SWD1807922245;Secure;Road;42SWD1807922245;34.541756;69.197029;Original;34.541756;69.197029;1;17.732691;691;23411.801;386;27690.072;0;1796;.59130752;882.61719;KBL-057;NA;0;0;Dari;1;RC-Central;East;62.988815;2434.0222;135.26578;1815.0615;3363.3787;27592.439;812.42798;17009.309;Dari;Road;No capital;.22222222;.22222222;0;0;0;0;.41003156;.14100316;0;0;0;0;0;1;0;Kabul;Kabul;101;0;1;20091.421938;0;0;0;0;1;314.44833;5576.0151;98877.75;1193.1329;4788.229;41212.906;331331.22;1423566.1;22927136;17.732691;-.013760252;17.718931
101033;101033;deh bori,mahmod hotaky high school;Kabul;1;101;7200;12;0;0;0;0;0;0;819;398;487;0;0;0;0;0;0;1704;12;4;0;.33333334;0;.23666666;.31831276;School;Kabul;PROVINCIAL CENTER (KABUL) Nahia (3);deh bori,mahmod hotaky high school;42SWD1133918888;Secure;Road;42SWD1133918888;34.511578;69.123528;Original;34.511578;69.123528;1;19.430555;691;24659.143;331;31620.838;0;1819;.91728294;827.65753;KBL-006;NA;0;0;Dari;1;RC-Central;East;163.94443;914.55463;53.027256;4192.8257;2081.7693;26597.639;841.90576;14473.54;Dari;Road;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Kabul;Kabul;101;0;1;20699.259988;0;0;0;0;1;377.54648;7335.938;142541.34;1191.049;4778.062;41104.98;330276.5;1418597.8;22829878;19.430555;.51557881;19.946135
101256;101256;behinde oil tank barchi, etiahaad masque;Kabul;1;101;1500;3;0;0;0;0;0;0;511;45;851;0;0;0;0;0;0;1407;3;1;0;.33333334;0;.93800002;.48097569;Mosque;Kabul;PROVINCIAL CENTER (KABUL) Nahia (13);behinde oil tank barchi, etiahaad masque;42SWD1943121174;Secure;Road;42SWD1943121174;34.53207;69.211739;Original;34.53207;69.211739;1;16.18408;691;21870.482;386;27037.771;0;1797;2.2826192;226.11273;KBL-024;NA;0;0;Dari;1;RC-Central;East;557.46149;2274.4724;511.24582;225.68839;4492.5078;29280.436;880.26294;18712.115;Dari;Road;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Kabul;Kabul;101;0;1;18652.880739;0;0;0;0;1;261.92444;4239.0063;68604.414;1192.4639;4790.2646;41178.246;331542.56;1421970.1;22946636;16.18408;-.13912173;16.044958
101184;101184;makroryan 3th,abdulhadi dawi high school;Kabul;1;101;4400;8;0;0;0;0;0;0;765;504;482;0;0;0;0;0;0;1751;8;3;0;.375;0;.39795455;.30346009;School;Kabul;PROVINCIAL CENTER (KABUL) Nahia (9);makroryan 3th,abdulhadi dawi high school;42SWD1670823206;Secure;Road;42SWD1670823206;34.550446;69.182106;Original;34.550446;69.182106;1;19.246677;691;24911.564;386;28492.502;0;1805;.76381534;770.94135;KBL-069;NA;0;0;Dari;1;RC-Central;East;1619.5468;1881.6803;291.96664;2797.7351;2797.7351;25956.236;2462.7605;15330.4;Dari;Road;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Kabul;Kabul;101;0;1;21499.758498;0;0;0;0;1;370.4346;7129.6353;137221.78;1193.7333;4786.1636;41244.016;331116.91;1424999.1;22907364;19.246677;1.2873173;20.533995
101056;101056;karti parwan,wazir muhammad akbarkhan sacandry school;Kabul;1;101;3800;7;0;0;0;0;0;0;158;281;66;0;0;0;0;0;0;505;7;3;0;.42857143;0;.13289474;.41403392;School;Kabul;PROVINCIAL CENTER (KABUL) Nahia (4);karti parwan,wazir muhammad akbarkhan sacandry school;42SWD1337121275;Secure;Road;42SWD1337121275;34.533081;69.145706;Original;34.533081;69.145706;1;19.621181;691;25112.494;386;32337.783;0;1829;6.0628295;540.31104;KBL-010;NA;0;0;Dari;1;RC-Central;East;177.85756;1477.6084;79.052925;1587.1014;1587.1014;25524.248;1816.0039;13886.81;Dari;Road;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Kabul;Kabul;101;0;1;21355.340307;0;0;0;0;1;384.99075;7553.9736;148217.89;1192.5337;4781.1289;41181.863;330594.53;1422136.6;22859192;19.621181;-.58777297;19.033409
101101;101101;dash haay haaji hasan,ahmadi masque;Kabul;1;101;2400;4;0;0;0;0;0;0;778;161;771;0;0;0;0;0;0;1710;4;1;0;.25;0;.71249998;.39092368;Mosque;Kabul;PROVINCIAL CENTER (KABUL) Nahia (6);dash haay haaji hasan,ahmadi masque;42SWD1050616988;Secure;Road;42SWD1050616988;34.494453;69.114433;Original;34.494453;69.114433;1;18.953392;691;23953.549;331;30619.039;0;1823;.64705896;630.77045;KBL-033;NA;0;0;Dari;1;RC-Central;East;1820.4304;595.81;75.009895;3201.2463;1726.5657;27993.992;1046.6321;15740.046;Dari;Road;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Kabul;Kabul;101;0;1;19900.292144;0;0;0;0;1;359.23108;6808.6475;129046.96;1189.8673;4776.8047;41043.824;330146.16;1415784.3;22817864;18.953392;-.030600455;18.922792
101179;101179;Department of Construction, makroryan,3,4;Kabul;1;101;2200;4;0;0;0;0;0;0;329;102;81;0;0;0;0;0;0;512;4;1;0;.25;0;.23272727;.45965576;Other;Kabul;PROVINCIAL CENTER (KABUL) Nahia (9);Department of Construction, makroryan,3,4;42SWD1745320460;Secure;Road;42SWD1745320460;34.525669;69.19017;Original;34.525669;69.19017;1;16.505219;691;22148.51;386;29092.033;0;1797;.31386968;934.79608;KBL-116;Provincial;2;2536300;Dari;1;RC-Central;East;332.47925;1773.6083;48.382416;2314.0728;2591.5918;28556.037;167.35487;17505.969;Dari;Road;Distr/Prov capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Kabul;Kabul;101;0;1;18678.551474;0;0;0;0;1;272.42224;4496.3887;74213.875;1192.0219;4787.2798;41155.352;331232.69;1420916;22918046;16.505219;-2.1968436;14.308374
101194;101194;balak haye sharwali,aziza afghan sacandary school;Kabul;1;101;2800;5;0;0;0;0;0;0;493;338;173;0;0;0;0;0;0;1004;5;2;0;.40000001;0;.35857144;.36263108;School;Kabul;PROVINCIAL CENTER (KABUL) Nahia (10);balak haye sharwali,aziza afghan sacandary school;42SWD1477222653;Secure;Road;42SWD1477222653;34.545486;69.160995;Original;34.545486;69.160995;1;19.823101;691;25422.682;386;30481.422;0;1792;.5023362;1203.3867;KBL-047;NA;0;0;Dari;1;RC-Central;East;1823.0132;2114.9102;149.70389;1616.1743;1616.1743;25184.844;1969.4075;14042.749;Dari;Road;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Kabul;Kabul;101;0;1;21824.078874;0;0;0;0;1;392.95532;7789.5933;154413.89;1193.3906;4783.2432;41226.262;330813.88;1424181.3;22879416;19.823101;-.91550094;18.9076
101091;101091;part(B)khoshal mina,deh now deh boori;Kabul;1;101;2900;5;0;0;0;0;0;0;166;123;70;0;0;0;0;0;0;359;5;2;0;.40000001;0;.1237931;.34049237;Other;Kabul;PROVINCIAL CENTER (KABUL) Nahia (5);part(B)khoshal mina,deh now deh boori;42SWD1084020818;Secure;Road;42SWD1084020818;34.528988;69.118118;Original;34.528988;69.118118;1;21.072845;691;26399;331;33476.969;0;1826;2.3311863;358.91388;KBL-002;NA;0;0;Dari;1;RC-Central;East;106.02377;165.92439;226.6835;4106.6147;2980.2727;24651.852;1096.8066;12594.871;Dari;Road;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Kabul;Kabul;101;0;1;22490.837418;0;0;0;0;1;444.06482;9357.709;197193.56;1192.251;4777.3145;41167.219;330198.97;1421462.5;22822732;21.072845;-.22300169;20.849844
101262;101262;Musa Bin Jafar Masjid located in Dogh Abad.;Kabul;1;101;1000;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;.5;0;0;;Other;Kabul;PROVINCIAL CENTER (KABUL) Nahia (13);Musa Bin Jafar Masjid located in Dogh Abad.;42SWD2130318745;Secure;Road;42SWD2130318745;34.510132;69.232079;Original;34.510132;69.232079;1;13.194875;691;18879.795;331;26795.57;0;1820;1.9143689;659.2641;KBL-095;NA;0;0;Pashto;2;RC-Central;East;2128.9458;249.12457;447.86768;3049.3904;6134.7935;32348.762;1355.6465;21624.541;Pashto;Road;No capital;0;0;0;1;1;0;;;;;;;;1;1;Kabul;Kabul;101;0;1;15798.167092;0;0;0;0;1;174.10472;2297.29;30312.453;1190.9492;4793.0806;41099.813;331834.94;1418360;22973622;13.194875;.49454963;13.689425
101127;101127;tani kot,technical institute;Kabul;1;101;4900;9;0;0;0;0;0;0;400;222;242;0;0;0;0;0;0;864;9;3;0;.33333334;0;.17632653;.31060585;Other;Kabul;PROVINCIAL CENTER (KABUL) Nahia (7);tani kot,technical institute;42SWD1503515183;Secure;Road;42SWD1503515183;34.478119;69.163734;Original;34.478119;69.163734;1;14.20397;691;19399.252;331;26433.012;0;1834;9.6035118;902.26892;KBL-008;NA;0;0;Dari;1;RC-Central;East;906.11932;2650.5359;33.739742;4549.6279;3198.262;31623.25;676.16431;19641.203;Dari;Road;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Kabul;Kabul;101;0;1;15452.342972;0;0;0;0;1;201.75276;2865.6902;40704.176;1188.7407;4783.6221;40985.543;330853.19;1413104.4;22883040;14.20397;-.26231077;13.941659
