="",="balance",="",="",=""
="",="MSE-Optimal Bandwidth",="RD Estimator",="p-value",="Effective Number of Observations"
="Share Men High School Education",="12.055",=".016",=".265",="590"
="Islamic Mayor in 1989",="11.783",=".053",=".424",="418"
="Islamic vote share 1994",="13.94",=".006",=".683",="668"
="N parties receiving votes 1994",="12.166",="-.168",=".726",="596"
="Log Population in 1994",="13.32",=".012",=".964",="633"
="District center",="13.033",="-.067",=".449",="624"
="Province center",="11.557",=".029",=".431",="574"
="Sub-metro center",="10.36",="-.016",=".682",="513"
="Metro center",="13.622",=".008",=".754",="642"
